year,month,day,hour,min,AOD_QC2,AOD_QC3,conc,avgbinQC2,avgbinQC3
2017,12,3,12,46,0.14929,0.14683,9.31063,1,1
2017,12,4,13,30,0.141,0.141,5.31496,1,1
2017,12,6,13,16,0.17,0.17,6.42861,0,0
2017,12,7,14,0,0.1005,0.109,0.0,1,1
2017,12,8,13,5,0.222,0.222,8.38658,0,0
2017,12,9,13,46,0.108,0.108,4.07886,0,0
2017,12,10,12,51,0.033,0.033,1.24609,0,0
2017,12,11,13,35,0.16,0.16,6.04964,0,0
2017,12,12,12,40,0.117,0.117,7.48428,0,0
2017,12,13,13,25,0.289,0.289,15.45112,0,0
2017,12,15,13,11,0.149,0.149,5.62966,0,0
2017,12,16,13,55,0.218,0.241,10.79061,3,3
2017,12,17,13,0,0.137,0.137,5.16235,0,0
2017,12,18,13,41,0.245,0.2028,9.17519,0,1
2017,12,19,12,46,0.41257,0.45333,27.81145,3,3
2017,12,20,13,30,0.38633,0.4455,25.6733,5,5
2017,12,22,13,16,0.258,0.258,9.61893,0,0
2017,12,23,14,0,0.65,0.889,27.40948,5,5
2017,12,24,13,5,0.40667,0.47,27.08132,3,3
2017,12,25,13,46,0.2705,0.2615,11.42528,1,1
2017,12,26,12,51,0.173,0.1696,11.09446,0,1
2017,12,27,13,36,0.176,0.176,6.65867,0,0
2017,12,28,12,41,0.055,0.0635,2.45012,1,1
2017,12,29,13,25,0.199,0.199,7.51048,0,0
2017,12,31,13,11,0.171,0.171,10.92654,0,0
2018,1,1,13,55,0.13563,0.12557,5.89857,1,1
2018,1,2,13,0,0.22,0.261,11.95537,1,1
2018,1,3,13,41,0.12138,0.1152,5.74182,1,1
2018,1,4,12,46,0.10883,0.1135,5.75118,1,1
2018,1,5,13,30,0.235,0.235,8.83947,0,0
2018,1,7,13,16,0.248,0.248,9.3008,0,0
2018,1,8,14,0,0.12586,0.11525,6.75315,1,1
2018,1,9,13,5,0.182,0.182,6.87077,0,0
2018,1,10,13,46,0.175,0.2725,6.61466,0,1
2018,1,10,13,50,0.192,0.22525,7.24287,0,1
2018,1,11,12,51,0.311,0.311,19.25266,0,0
2018,1,11,12,55,0.4856,0.4856,32.86119,3,3
2018,1,12,13,36,0.243,0.1742,9.11416,0,1
2018,1,13,12,41,0.25483,0.246,16.29553,1,1
2018,1,14,13,25,0.36044,0.3408,18.18623,3,3
2018,1,16,13,11,0.382,0.26625,20.42226,1,3
2018,1,17,13,55,0.193,0.193,7.27895,0,0
2018,1,18,13,0,0.165,0.184,10.58769,0,1
2018,1,19,13,41,0.20825,0.20825,8.67905,1,1
2018,1,20,12,46,0.18114,0.19317,10.85005,1,1
2018,1,21,13,30,0.45979,0.44808,20.33877,3,3
2018,1,23,13,16,0.333,0.333,12.05548,0,0
2018,1,24,14,0,0.4205,0.356,21.93008,3,3
2018,1,25,13,5,0.282,0.282,13.59898,0,0
2018,1,26,13,50,0.3474,0.3085,12.45735,1,1
2018,1,27,12,51,0.3145,,18.55751,3,5
2018,1,27,12,55,0.299,0.299,15.20497,1,1
2018,1,28,13,36,0.321,0.321,11.67818,0,0
2018,1,29,12,41,0.4955,0.521,33.57652,1,1
2018,1,30,13,25,0.434,0.434,15.08572,0,0
2018,2,1,13,11,0.54914,0.5328,30.0108,1,1
2018,2,2,13,55,0.322,0.49,11.68938,0,1
2018,2,3,13,0,0.351,0.351,19.69632,0,0
2018,2,4,13,41,0.005,0.0882,0.21512,0,1
2018,2,5,12,46,0.099,0.144,3.74888,0,1
2018,2,6,13,30,,,,5,5
2018,2,8,13,16,0.0395,0.0395,1.52581,3,3
2018,2,9,14,1,0.055,0.125,2.06976,1,3
2018,2,10,13,5,0.076,0.076,2.86128,0,0
2018,2,11,13,50,0.028,0.14288,1.08943,0,1
2018,2,12,12,55,,,,5,5
2018,2,13,13,36,,,,5,5
2018,2,14,12,41,0.264,0.30485,10.60142,1,3
2018,2,15,13,25,0.262,0.262,9.74287,0,0
2018,2,17,13,11,0.5232,0.362,19.17339,1,1
2018,2,18,13,55,0.591,0.651,19.48183,1,3
2018,2,19,13,0,0.52425,0.539,30.65408,1,1
2018,2,20,13,41,0.613,0.64663,20.29515,1,3
2018,2,21,12,46,0.86957,0.86957,80.52382,5,5
2018,2,22,13,30,0.523,0.60014,17.64379,1,3
2018,2,24,13,16,0.49957,0.51125,18.41048,1,1
2018,2,25,14,1,0.95033,0.95033,50.91643,5,5
2018,2,26,13,6,0.273,0.273,10.11796,0,0
2018,2,27,13,50,0.725,0.723,23.25727,3,3
2018,2,28,12,55,,,84.16962,5,5
2018,3,1,13,36,0.692,0.7178,22.32272,1,3
2018,3,2,12,41,0.768,0.768,53.70402,1,1
2018,3,3,13,25,0.23,0.23,8.66453,0,0
2018,3,5,13,11,0.355,0.355,12.74876,0,0
2018,3,6,13,55,0.0916,0.09025,3.46518,1,1
2018,3,7,13,0,0.244,0.244,9.14546,0,0
2018,3,8,13,41,0.56883,0.5305,24.68545,3,3
2018,3,9,12,46,0.6205,0.634,38.31253,1,1
2018,3,10,13,30,0.31575,0.304,11.46068,1,1
2018,3,12,13,16,0.769,0.866,24.31232,1,3
2018,3,12,13,20,,,,5,5
2018,3,13,14,1,0.5305,0.735,17.91881,1,3
2018,3,14,13,6,0.454,0.41,15.62024,0,1
2018,3,15,13,50,0.851,,37.36669,5,5
2018,3,16,12,55,0.177,0.177,6.69369,0,0
2018,3,17,13,36,0.431,0.16367,14.98698,0,1
2018,3,18,12,41,0.36,0.36,15.17873,0,0
2018,3,19,13,25,0.544,0.544,18.28743,0,0
2018,3,21,13,11,0.684,0.684,22.11817,0,0
2018,3,22,13,55,0.293,0.293,10.78851,0,0
2018,3,23,13,0,0.581,0.696,19.29131,0,1
2018,3,24,13,41,0.57,0.57,18.97138,0,0
2018,3,25,12,46,0.791,0.83667,38.66645,1,3
2018,3,26,13,30,0.872,0.872,33.87173,5,5
2018,3,28,13,16,,,34.96559,5,5
2018,3,28,13,20,,,57.15148,5,5
2018,3,29,14,1,0.573,0.56875,27.16229,1,1
2018,3,30,13,6,0.341,0.341,12.27634,3,3
2018,3,31,13,50,0.746,0.62413,49.26044,3,5
2018,4,1,12,55,0.681,0.81117,65.19234,1,3
2018,4,2,13,36,0.60675,0.68,20.00776,1,1
2018,4,3,12,41,0.72533,0.7965,68.41148,3,3
2018,4,4,13,25,0.84589,0.807,28.064,5,5
2018,4,6,13,11,0.741,0.6385,23.55401,1,3
2018,4,7,13,55,0.389,0.389,18.73694,1,1
2018,4,8,13,0,0.797,,47.12118,0,5
2018,4,9,13,41,0.914,0.58091,31.39426,1,5
2018,4,10,12,46,,,,5,5
2018,4,11,13,30,0.328,0.525,11.92624,1,5
2018,4,13,13,16,0.113,0.1864,4.27497,1,3
2018,4,13,13,20,0.378,0.378,13.44941,0,0
2018,4,14,14,1,0.1715,0.17143,8.26394,3,3
2018,4,15,13,6,0.606,0.606,19.98097,1,1
2018,4,16,13,50,0.699,0.797,22.65653,1,3
2018,4,17,12,55,0.8895,0.8895,60.5345,3,3
2018,4,18,13,36,0.5367,0.526,18.80963,3,3
2018,4,19,12,41,0.782,0.882,27.60612,1,3
2018,4,20,13,25,0.434,0.434,15.07208,0,0
2018,4,22,13,11,0.336,0.336,12.14403,0,0
2018,4,23,13,55,0.418,0.418,16.05436,0,0
2018,4,24,13,0,0.706,0.706,35.85126,0,0
2018,4,25,13,41,0.90508,0.89833,32.5092,3,3
2018,4,26,12,46,,,89.22797,5,5
2018,4,27,13,30,0.7344,0.74578,32.43421,3,3
2018,4,29,13,16,0.74508,0.7123,27.15927,5,5
2018,4,30,14,1,0.6615,0.691,39.84312,3,3
2018,5,1,13,6,0.54425,0.56467,29.59662,3,3
2018,5,2,13,50,0.64825,0.59767,30.46443,5,5
2018,5,3,12,55,,,,5,5
2018,5,4,13,36,0.453,,15.73764,3,5
2018,5,5,12,41,0.5357,0.54443,29.65527,3,3
2018,5,6,13,25,0.512,0.712,17.43999,3,5
2018,5,8,13,11,0.403,0.403,14.19673,0,0
2018,5,9,13,55,0.115,0.213,4.33432,0,1
2018,5,10,13,0,0.2955,0.248,10.78253,1,1
2018,5,11,13,41,0.311,0.311,11.35923,1,1
2018,5,12,12,46,0.73617,0.7294,37.46076,3,3
2018,5,13,13,30,0.752,,24.10689,5,5
2018,5,15,13,16,0.642,0.592,44.30574,3,3
2018,5,16,14,1,0.84456,0.85175,65.92645,5,5
2018,5,17,13,5,0.6674,0.509,48.30847,5,5
2018,5,18,13,50,0.79783,0.87,42.89585,5,5
2018,5,19,12,55,0.857,0.83467,36.51261,3,5
2018,5,20,13,36,0.45833,0.6365,15.82062,3,5
2018,5,21,12,41,,,65.35599,5,5
2018,5,22,13,25,,,,5,5
2018,5,24,13,11,0.30667,0.176,16.05335,1,1
2018,5,25,13,55,0.434,0.4085,15.02267,0,1
2018,5,26,13,0,0.733,0.733,23.2899,0,0
2018,5,27,13,41,0.587,0.633,19.52397,1,1
2018,5,28,12,46,0.946,,43.88754,1,5
2018,5,29,13,30,0.52233,0.503,17.65095,3,3
2018,5,31,13,16,,,,5,5
2018,6,1,14,1,0.41233,0.392,21.08085,3,3
2018,6,2,13,5,0.62067,0.671,26.52251,3,3
2018,6,3,13,50,0.67925,0.6625,40.90297,5,5
2018,6,4,12,55,0.67733,0.637,36.4766,3,3
2018,6,5,13,36,0.252,0.2825,15.43799,0,1
2018,6,6,12,41,0.3335,0.31927,12.05837,1,3
2018,6,7,13,25,0.4745,0.39643,27.72176,1,3
2018,6,9,13,11,0.497,0.173,31.86174,3,5
2018,6,10,13,55,0.484,0.44367,32.70211,3,3
2018,6,11,13,0,0.283,0.31,10.47966,1,3
2018,6,12,13,41,0.558,0.44675,24.50451,1,3
2018,6,13,12,46,0.871,,44.27149,1,5
2018,6,14,13,30,0.74,0.672,26.49736,3,5
2018,6,16,13,16,,,248.86166,5,5
2018,6,17,14,1,,,167.00346,5,5
2018,6,18,13,5,0.761,0.761,53.22417,0,0
2018,6,19,13,50,0.466,0.466,31.44031,0,0
2018,6,20,12,51,0.88067,0.88067,63.72955,3,3
2018,6,20,12,55,0.63,,36.73533,1,5
2018,6,21,13,36,0.67675,0.683,46.37296,3,3
2018,6,22,12,41,0.989,,62.87194,3,5
2018,6,23,13,25,,,51.71639,5,5
2018,6,25,13,11,,,52.06633,5,5
2018,6,26,13,55,,,,5,5
2018,6,27,13,0,0.5,,16.99501,0,5
2018,6,28,13,41,0.48067,0.582,32.40629,5,5
2018,6,29,12,46,,,,5,5
2018,6,30,13,30,,,,5,5
2018,7,2,13,16,,,,5,5
2018,7,3,14,0,,,,5,5
2018,7,4,13,5,0.986,0.986,70.56466,5,5
2018,7,5,13,50,0.422,,14.82702,5,5
2018,7,6,12,51,,,99.52727,5,5
2018,7,6,12,55,0.578,,19.24157,0,5
2018,7,7,13,36,,,,5,5
2018,7,8,12,41,,,,5,5
2018,7,9,13,25,,,,5,5
2018,7,11,13,11,,,,5,5
2018,7,12,13,55,,,,5,5
2018,7,13,13,0,0.2695,,13.30355,3,5
2018,7,14,13,41,0.3048,0.257,19.82159,3,3
2018,7,15,12,46,,,,5,5
2018,7,16,13,30,0.45067,0.438,30.29559,3,3
2018,7,18,13,16,,,,5,5
2018,7,19,14,1,0.271,0.13633,17.47796,1,3
2018,7,20,13,6,0.289,0.289,14.67338,1,1
2018,7,21,13,50,,,,5,5
