year,month,day,hour,min,AOD_QC2,AOD_QC3,conc,avgbinQC2,avgbinQC3
2018,7,18,10,6,,,,5,5
2018,7,19,10,50,0.267,0.265,17.3235,1,1
2018,7,21,10,36,,,,5,5
2018,7,21,10,40,,,,5,5
2018,7,22,11,21,,,,5,5
2018,7,23,10,26,,,,5,5
2018,7,24,11,10,,,,5,5
2018,7,25,10,15,,,,5,5
2018,7,26,10,56,,,,5,5
2018,7,28,10,45,,,,5,5
2018,7,29,11,26,,,,5,5
2018,7,30,10,31,,,,5,5
2018,7,31,11,15,,,,5,5
2018,8,1,10,20,,,,5,5
2018,8,2,11,1,,,,5,5
2018,8,3,10,6,,,,5,5
2018,8,4,10,50,,,,5,5
2018,8,6,10,36,,,,5,5
2018,8,6,10,40,0.549,,37.45213,5,5
2018,8,7,11,21,,,,5,5
2018,8,8,10,26,0.22333,0.21933,11.82301,3,5
2018,8,9,11,10,0.216,0.221,13.81521,3,3
2018,8,10,10,15,,,,5,5
2018,8,11,10,56,,,,5,5
2018,8,13,10,45,,,,5,5
2018,8,14,11,26,,,,5,5
2018,8,15,10,31,,,,5,5
2018,8,16,11,15,0.152,0.111,9.71362,3,3
2018,8,17,10,20,,,,5,5
2018,8,18,11,1,0.17725,0.1645,9.95609,3,3
2018,8,20,10,50,0.434,0.434,15.07031,0,0
2018,8,22,10,36,,,,5,5
2018,8,22,10,40,,,,5,5
2018,8,23,11,21,,,,5,5
2018,8,24,10,26,,,,5,5
2018,8,25,11,10,,,,5,5
2018,8,26,10,15,,,,5,5
2018,8,27,10,56,0.359,0.347,22.4106,3,3
2018,8,29,10,45,,,,5,5
2018,8,30,11,26,,,,5,5
2018,8,31,10,31,,,,5,5
2018,9,1,11,15,0.204,0.226,13.03158,1,3
2018,9,2,10,20,,,,5,5
2018,9,3,11,1,,,,5,5
2018,9,5,10,50,0.3525,0.277,19.44707,1,1
2018,9,7,10,36,0.302,0.212,15.88338,1,3
2018,9,8,11,21,,,,5,5
2018,9,9,10,26,,,,5,5
2018,9,10,11,10,,,,5,5
2018,9,11,10,15,,,,5,5
2018,9,12,10,56,,,,5,5
2018,9,14,10,45,0.577,,21.31563,3,5
2018,9,15,11,26,,,,5,5
2018,9,16,10,31,,,,5,5
2018,9,17,11,15,0.131,0.131,4.94458,0,0
2018,9,18,10,20,0.26,0.1665,9.67907,0,1
2018,9,19,11,1,0.276,0.258,10.22266,0,1
2018,9,21,10,50,,,,5,5
2018,9,23,10,36,0.319,0.256,20.80218,1,3
2018,9,24,11,20,0.34233,0.276,19.72337,3,3
2018,9,25,10,25,0.518,0.45633,26.29589,1,5
2018,9,26,11,10,0.516,0.521,24.49935,1,3
2018,9,27,10,15,0.379,0.31733,15.16317,3,5
